,상품군별(1),운영형태별(1),날짜,거래액
0,컴퓨터 및 주변기기,온라인 전용몰,2017.01,350585
1,컴퓨터 및 주변기기,온·오프라인 병행몰,2017.01,71800
2,가전·전자·통신기기,온라인 전용몰,2017.01,465062
3,가전·전자·통신기기,온·오프라인 병행몰,2017.01,137060
4,서적,온라인 전용몰,2017.01,43716
5,서적,온·오프라인 병행몰,2017.01,107514
6,사무·문구,온라인 전용몰,2017.01,37630
7,사무·문구,온·오프라인 병행몰,2017.01,15562
8,의복,온라인 전용몰,2017.01,628483
9,의복,온·오프라인 병행몰,2017.01,236032
10,신발,온라인 전용몰,2017.01,71652
11,신발,온·오프라인 병행몰,2017.01,32146
12,가방,온라인 전용몰,2017.01,94156
13,가방,온·오프라인 병행몰,2017.01,49487
14,패션용품 및 액세서리,온라인 전용몰,2017.01,83229
15,패션용품 및 액세서리,온·오프라인 병행몰,2017.01,60209
16,스포츠·레저용품,온라인 전용몰,2017.01,152348
17,스포츠·레저용품,온·오프라인 병행몰,2017.01,49032
18,화장품,온라인 전용몰,2017.01,246020
19,화장품,온·오프라인 병행몰,2017.01,408125
20,아동·유아용품,온라인 전용몰,2017.01,212378
21,아동·유아용품,온·오프라인 병행몰,2017.01,47412
22,음·식료품,온라인 전용몰,2017.01,426900
23,음·식료품,온·오프라인 병행몰,2017.01,248951
24,농축수산물,온라인 전용몰,2017.01,143965
25,농축수산물,온·오프라인 병행몰,2017.01,115064
26,생활용품,온라인 전용몰,2017.01,441862
27,생활용품,온·오프라인 병행몰,2017.01,150448
28,자동차 및 자동차용품,온라인 전용몰,2017.01,72303
29,자동차 및 자동차용품,온·오프라인 병행몰,2017.01,7841
30,가구,온라인 전용몰,2017.01,123424
31,가구,온·오프라인 병행몰,2017.01,65178
32,애완용품,온라인 전용몰,2017.01,49161
33,애완용품,온·오프라인 병행몰,2017.01,3935
34,여행 및 교통서비스,온라인 전용몰,2017.01,556367
35,여행 및 교통서비스,온·오프라인 병행몰,2017.01,659096
36,문화 및 레저서비스,온라인 전용몰,2017.01,85177
37,문화 및 레저서비스,온·오프라인 병행몰,2017.01,79078
38,이쿠폰서비스,온라인 전용몰,2017.01,86470
39,이쿠폰서비스,온·오프라인 병행몰,2017.01,2178
40,음식서비스,온라인 전용몰,2017.01,155733
41,음식서비스,온·오프라인 병행몰,2017.01,27623
42,기타서비스,온라인 전용몰,2017.01,61247
43,기타서비스,온·오프라인 병행몰,2017.01,4350
44,기타,온라인 전용몰,2017.01,124622
45,기타,온·오프라인 병행몰,2017.01,19870
46,컴퓨터 및 주변기기,온라인 전용몰,2017.02,395409
47,컴퓨터 및 주변기기,온·오프라인 병행몰,2017.02,79933
48,가전·전자·통신기기,온라인 전용몰,2017.02,487668
49,가전·전자·통신기기,온·오프라인 병행몰,2017.02,139206
50,서적,온라인 전용몰,2017.02,45396
51,서적,온·오프라인 병행몰,2017.02,108933
52,사무·문구,온라인 전용몰,2017.02,44824
53,사무·문구,온·오프라인 병행몰,2017.02,15579
